"track_id","Artist","Track.Name","top.rank","total.plays","average.daily.plays","days.in.chart","artist_id","followers","genres","popularity","energy","liveness","tempo","speechiness","acousticness","instrumentalness","danceability","key","duration_ms","loudness","mode","valence"
"09FfQO3PqHO4HIJL511Ksi","Eminem","Nice Guy (with Jessie Reyez)",37,18273729,1074925.23529412,17,"7dGJo4pcD2V6oG8kP0tJRR",23109986,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",94,0.639,0.135,139.226,0.458,0.0942,0,0.65,8,150802,-5.962,1,0.563
"09IOPhEh1OMe0HD9b36FJk","Post Malone","Over Now",11,68046119,1283889.03773585,53,"246dkjvS1zLTtiykXe5h60",9978894,"[u'pop', u'rap']",97,0.761,0.143,163.898,0.0877,0.131,1.6e-06,0.559,4,246987,-4.041,0,0.24
"09IStsImFySgyp0pIQdqAc","Zedd","The Middle",6,561322081,1660716.21597633,338,"2qxJFvFYMEDqd7ui6kSAcq",3746789,"[u'complextro', u'dance pop', u'edm', u'german techno', u'pop', u'post-teen pop', u'tropical house']",86,0.657,0.112,107.01,0.0449,0.171,0,0.753,7,184732,-3.061,1,0.437
"09OojFvtrM9YRzRjnXqJjA","Brenda Lee","Rockin' Around The Christmas Tree - Rerecorded Version",151,1070562,1070562,1,"4cPHsZM98sKzmV26wlwD2W",102925,"[u'adult standards', u'brill building pop', u'christmas']",80,0.641,0.224,141.002,0.0386,0.568,0,0.682,8,126146,-8.915,1,0.826
"09ts3GnICqYEU5PkQCpJK3","Justin Timberlake","Say Something",21,184992257,1293652.14685315,143,"31TPClRtHm23RisEBtV3X7",7428148,"[u'dance pop', u'pop']",83,0.632,0.0841,97.04,0.0789,0.103,1.09e-05,0.707,10,278893,-7.031,1,0.372
"0AcHbiMs86CCgprvc7E1gs","Carnage","i Shyne",153,3623112,603852,6,"7CCjtD0hCK005Bvg2WG1a7",204929,"[u'edm', u'rap', u'trap music', u'underground hip hop']",68,0.732,0.364,144.076,0.081,0.175,0,0.776,8,153351,-3.719,1,0.383
"0AcicReEGm1qcENjqzh1Tg","Trippie Redd","Love Scars 3",100,4447831,741305.166666667,6,"6Xgp2XMz1fhVYe7i6yNAax",2396064,"[u'rap', u'trap music']",90,0.524,0.106,81.982,0.0621,0.136,0,0.544,8,129429,-7.914,1,0.117
"0afhq8XCExXpqazXczTSve","Ed Sheeran","Galway Girl",82,67842041,652327.317307692,104,"6eUKZXaKkcviH0Ku9w2n3V",38143991,"[u'pop']",93,0.876,0.327,99.943,0.1,0.0735,0,0.624,9,170827,-3.374,1,0.781
"0AG2l0IboWNSwjUkMr2Aq7","The 1975","Be My Mistake",200,703181,703181,1,"3mIj9lX2MWuHmhNCA7LSCW",2738235,"[u'modern alternative rock', u'nu gaze', u'pop', u'shiver pop']",85,0.155,0.0906,109.923,0.0344,0.835,0.000137,0.572,6,256689,-14.405,1,0.0949
"0Ai6qtPfiEYGCqBGJYWD1W","Baddiel, Skinner & Lightning Seeds","Three Lions",94,1691221,845610.5,2,"3LtYMPncqtiugGwOuuLq3h",2642,"[]",46,0.699,0.346,126.306,0.0295,0.0804,0,0.55,3,228360,-8.793,1,0.648
"0as7lPxkBPctZ7uVmchRNM","Cashmere Cat","Miss You (with Major Lazer & Tory Lanez)",100,41846156,721485.448275862,58,"2LZDXcxJWgsJfKXZv9a5eG",260232,"[u'dance pop', u'downtempo', u'edm', u'electropop', u'pop', u'post-teen pop', u'shiver pop']",68,0.646,0.0961,100,0.0973,0.231,0.0012,0.753,1,186231,-4.564,1,0.438
"0At2qAoaVjIwWNAqrscXli","Ella Mai","Boo'd Up",56,50751755,831995.983606557,61,"7HkdQ0gt53LP4zmHsL0nap",985939,"[u'pop', u'r&b', u'uk contemporary r&b', u'urban contemporary']",82,0.779,0.078,81.965,0.0531,0.0862,0,0.561,10,256064,-5.107,0,0.235
"0ATmjiSoHDCHeeQ9FcvZOW","Logic","The Return",106,4692432,670347.428571429,7,"4xRYI6VqpkE3UwrDrAZL8L",3200383,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",86,0.956,0.107,90.025,0.178,0.113,0,0.8,11,252133,-4.432,0,0.65
"0b93tWwuoAC0nXe1CfR30I","Arctic Monkeys","Star Treatment",19,6399280,1066546.66666667,6,"7Ln80lUS6He07XvHI8qqHH",7143278,"[u'garage rock', u'indie rock', u'modern rock', u'permanent wave', u'rock', u'sheffield indie']",85,0.767,0.141,120.07,0.0527,0.243,0.00131,0.581,7,354640,-5.026,0,0.673
"0b9oOr2ZgvyQu88wzixux9","Childish Gambino","This Is America",1,208329960,1780597.94871795,117,"73sIBHcqh3Z3NyqHKZ7FOL",4263935,"[u'atl hip hop', u'hip hop', u'pop rap', u'rap']",82,0.463,0.354,120.024,0.137,0.117,0,0.854,5,225773,-6.159,1,0.549
"0bAkKNCQfWkexHFn7fIKns","Drake","In My Feelings",1,702111864,3774794.96774194,186,"3TVXtAsR1Inumwj472S9r4",31358122,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",100,0.482,0.448,181.995,0.139,0.00623,0.0144,0.735,8,217933,-9.445,1,0.315
"0bfKYrMLEDJ4fvcxzrMIwB","Twenty One Pilots","Levitate",91,4355885,725980.833333333,6,"3YQKmKGau1PzlVlkL1iodx",11129189,"[u'pop punk', u'rock']",88,0.929,0.117,93.017,0.16,0.0771,0.383,0.726,6,145890,-5.881,0,0.212
"0bhnUFDQFCEHCBlsQfHnj5","J. Cole","Photograph",5,25378158,1586134.875,16,"6l3HvQ5sa6mXTsMTB19rO5",7069512,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",88,0.487,0.0868,105.05,0.233,0.0299,0,0.825,1,218954,-6.416,1,0.372
"0bi1T5Y9aXT4JAOOU2NLcV","Zacari","Redemption Interlude",122,2023886,674628.666666667,3,"3qBKjEOanahMxlRojwCzhI",28526,"[u'gqom']",70,0.442,0.0835,115.501,0.139,0.633,2.35e-05,0.391,4,85267,-13.558,0,0.148
"0BSPhsCKfwENstErymcD80","Nas","Adam and Eve",119,1873302,624434,3,"20qISvAhX20dpIbOOzGK3q",1441989,"[u'conscious hip hop', u'east coast hip hop', u'gangster rap', u'hardcore hip hop', u'hip hop', u'pop rap', u'rap']",75,0.803,0.318,92.401,0.218,0.0453,0,0.624,9,250760,-5.107,0,0.172
"0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You",1,147933460,2595323.85964912,57,"4iHNK0tOyZPYnBU7nGAgpQ",3808161,"[u'dance pop', u'pop', u'r&b', u'urban contemporary']",89,0.625,0.0708,150.277,0.0386,0.164,0,0.335,7,241107,-7.462,1,0.346
"0CBFOvHlyqy30Q5tbyNHfQ","Dua Lipa","Want To",107,24364838,696138.228571429,35,"6M2wZ9GZgrQXHCFfjv46we",8518490,"[u'dance pop', u'pop', u'post-teen pop']",91,0.691,0.0593,92.082,0.123,0.0788,0.000132,0.572,8,212040,-4.783,0,0.318
"0CBQ0m3mufWH75LTYB3s6h","Lil Wayne","Let It Fly (feat. Travis Scott)",4,27889593,1328075.85714286,21,"55Aa2cqylxrFIXC767Z865",7158460,"[u'hip hop', u'pop rap', u'rap', u'trap music']",91,0.819,0.106,89,0.317,0.0414,0,0.902,1,186872,-3.321,1,0.746
"0CcQNd8CINkwQfe1RDtGV6","Imagine Dragons","Believer",60,356477023,976649.378082192,365,"53XhwfbYqKCa1cC15pYq2q",15301254,"[u'modern rock', u'rock']",93,0.787,0.14,124.982,0.108,0.0524,0,0.779,10,204347,-4.305,0,0.708
"0cDwUAF7yQrOLRcFfJpSc2","Imagine Dragons","Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",76,6723584,840448,8,"53XhwfbYqKCa1cC15pYq2q",15301254,"[u'modern rock', u'rock']",93,0.652,0.115,90.012,0.0321,0.000448,0.00139,0.634,6,210935,-7.49,1,0.264
"0CfmNX2TXk7yoJqHJiixnp","Cardi B","She Bad",107,5591973,698996.625,8,"4kYSro6naA4h99UJvo89HB",5927731,"[u'pop', u'rap']",94,0.504,0.0963,159.949,0.266,0.0183,0,0.791,10,230953,-7.864,1,0.355
"0CokSRCu5hZgPxcZBaEzVE","Macklemore","Glorious (feat. Skylar Grey)",92,44326230,633231.857142857,70,"3JhNCzhSMTxs9WLGJJxWOY",1197013,"[u'pop rap']",79,0.794,0.112,139.994,0.0522,0.0323,2.59e-05,0.731,0,220454,-5.126,0,0.356
"0cqRj7pUJDkTCEsJkx8snD","Taylor Swift","Shake It Off",199,578086,578086,1,"06HL4z0CvFAxyc27GXpf02",16964111,"[u'dance pop', u'pop', u'post-teen pop']",89,0.795,0.132,160.061,0.163,0.059,0,0.649,7,219200,-5.337,1,0.915
"0ct6r3EGTcMLPtrXHDvVjc","Avicii","The Nights",24,19060887,1121228.64705882,17,"1vCWHaC5f2uS3yhpwWbIA6",11511246,"[u'big room', u'edm', u'pop']",85,0.835,0.249,125.983,0.0433,0.0166,0,0.527,6,176658,-5.298,1,0.654
"0CZ8lquoTX2Dkg7Ak2inwA","King Princess","1950",54,95139270,864902.454545455,110,"6beUvFUlKliUYJdLOXNj9C",188947,"[u'dance pop', u'electropop', u'pop']",73,0.535,0.162,71.912,0.107,0.648,4.7e-06,0.6,4,225133,-7.043,1,0.269
"0d0d2CuQSQDF7Q7vNhwA3i","Capital Bra","Neymar",122,10840391,677524.4375,16,"4WZGDpNwrC0vNQyl9QzF7d",1440803,"[u'german hip hop']",84,0.66,0.133,123.96,0.241,0.558,0,0.749,7,263647,-6.143,1,0.542
"0d2iYfpKoM0QCKvcLCkBao","benny blanco","Eastside (with Halsey & Khalid)",3,431747409,2510159.35465116,172,"5CiGnKThu5ctn9pBxv7DGa",69246,"[u'dance pop', u'pop', u'tropical house']",84,0.68,0.116,89.391,0.321,0.555,0,0.56,6,173800,-7.648,0,0.319
"0d2vY2TqqmWPuXUm1vcwa5","6ix9ine","RONDO",72,6500628,812578.5,8,"7gZfnEnfiaHzxARJ2LeXrf",3170064,"[u'emo rap', u'rap']",93,0.799,0.715,95.069,0.165,0.0519,0,0.764,9,138474,-4.815,0,0.72
"0D4yVl9Pn45xW2s63MFCmT","The 1975","It's Not Living (If It's Not With You)",146,1463484,731742,2,"3mIj9lX2MWuHmhNCA7LSCW",2738235,"[u'modern alternative rock', u'nu gaze', u'pop', u'shiver pop']",85,0.837,0.0618,121.227,0.0304,0.000254,0.000378,0.618,1,248336,-5.338,1,0.526
"0D5CXSUx8GOCHSY8KWgi9h","Logic","Yuck",50,7013230,876653.75,8,"4xRYI6VqpkE3UwrDrAZL8L",3200383,"[u'conscious hip hop', u'hip hop', u'pop rap', u'rap']",86,0.805,0.132,155.864,0.369,0.194,0,0.631,11,173693,-5.401,0,0.674
"0dbTQYW3Ad1FTzIA9t90E8","Lil Wayne","Mona Lisa (feat. Kendrick Lamar)",1,65204351,1552484.54761905,42,"55Aa2cqylxrFIXC767Z865",7158460,"[u'hip hop', u'pop rap', u'rap', u'trap music']",91,0.694,0.109,122.078,0.169,0.371,0,0.855,2,324189,-4.393,1,0.49
"0DJBgBiYeSn6n1AXAkFVE8","Jorja Smith","I Am",62,11997790,749861.875,16,"1CoZyIx7UvdxT5c8UkMzHd",693441,"[u'indie r&b', u'pop', u'r&b', u'uk contemporary r&b']",76,0.583,0.183,148.785,0.263,0.144,9.73e-05,0.601,8,208760,-5.725,0,0.32
"0dLToDou8YHYJpQltj3Ijy","Sfera Ebbasta","Cupido (feat. Quavo)",95,9896568,659771.2,15,"23TFHmajVfBtlRx5MXqgoz",2697786,"[u'italian hip hop']",81,0.695,0.105,119.978,0.0413,0.0622,0,0.803,4,210107,-5.164,0,0.458
"0Dn40gxVCMo5TkgS8Ik18Q","Lil Peep","Falling Down - Bonus Track",2,218883785,2104651.77884615,104,"2kCcBybjl3SAtIcwdWpUe3",1768658,"[u'emo rap', u'lgbtq+ hip hop']",87,0.574,0.146,120.013,0.0286,0.0175,0.00294,0.669,4,196400,-6.442,0,0.273
"0DXytBddBKZYbfDMP4X0kc","Orelsan","Rêves bizarres (feat. Damso)",135,1478641,739320.5,2,"4FpJcNgOvIpSBeJgRg3OfN",821705,"[u'belgian hip hop', u'french hip hop', u'rap conscient']",76,0.652,0.0957,143.995,0.231,0.11,0,0.816,10,212609,-6.157,0,0.736
"0E6PsO3ymCfUh7pJQjBgkj","The Carters","APESHIT",33,76440853,1047134.97260274,73,"4fpTMHe34LC5t3h5ztK8qu",356845,"[u'pop', u'r&b', u'rap']",70,0.784,0.168,160.035,0.271,0.0133,0,0.705,2,264853,-6.477,1,0.377
"0e7ipj03S05BNilyu5bRzt","Post Malone","rockstar (feat. 21 Savage)",7,411534095,1652747.36947791,249,"246dkjvS1zLTtiykXe5h60",9978894,"[u'pop', u'rap']",97,0.535,0.131,159.847,0.0898,0.117,6.56e-05,0.587,5,218147,-6.09,0,0.14
"0E9ZjEAyAwOXZ7wJC0PD33","Dynoro","In My Mind",4,401508530,2218279.17127072,181,"3v6Ji4uoWtKRkhuDUaxi9n",51553,"[u'edm']",80,0.77,0.118,125.905,0.149,0.176,1.1e-05,0.694,6,184560,-5.335,1,0.163
"0EA2RhRHL4KWeNa7JfD1Yw","Mac Miller","So It Goes",171,604682,604682,1,"4LLpKhyESsyAXpc4laK94U",2868811,"[u'hip hop', u'pop rap', u'rap']",86,0.556,0.0943,148.173,0.231,0.812,0.125,0.576,0,312960,-6.474,1,0.294
"0egwbpNUagfbqFuqaPd6jt","Migos","Supastars",22,6888828,984118.285714286,7,"6oMuImdp5ZcFhWP0ESe6mG",8097451,"[u'atl hip hop', u'pop', u'rap', u'trap music']",87,0.678,0.076,75.95,0.059,0.246,0,0.781,1,293138,-4.369,1,0.355
"0EQMrxdeiBhry9JCxskko3","BTS","I'm Fine",77,2974099,743524.75,4,"3Nrfpe0tUJi4K4DXYWgMUX",8375810,"[u'k-pop']",90,0.842,0.346,87.605,0.103,0.00852,0,0.51,11,240339,-2.782,0,0.302
"0ERbK7qVqveCaBWIiYCrl3","Romeo Santos","Bella y Sensual",108,49482313,696933.985915493,71,"5lwmRuXgjX8xIwlnauTZIP",6859265,"[u'bachata', u'latin', u'tropical']",87,0.713,0.0506,179.864,0.0937,0.228,0,0.635,11,204701,-6.909,1,0.749
"0evt4UZbdhnHtcAnxkm6A1","Eminem","Normal",15,28949634,1315892.45454545,22,"7dGJo4pcD2V6oG8kP0tJRR",23109986,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",94,0.64,0.0785,120.995,0.354,0.261,0,0.907,6,222477,-6.542,1,0.803
"0EwS8XJQspgrj1zSUXhFkl","6ix9ine","KANGA (feat. Kanye West)",23,8925563,1115695.375,8,"7gZfnEnfiaHzxARJ2LeXrf",3170064,"[u'emo rap', u'rap']",93,0.598,0.0791,117.9,0.17,0.0192,0,0.901,1,132331,-6.934,1,0.355
"0Fpen1PTuEnCmOJtUU9Iud","Lil Uzi Vert","New Patek",13,63677541,1061292.35,60,"4O15NlyKLIASxsJ0PrXPfz",5482757,"[u'rap', u'trap music']",89,0.785,0.155,145.063,0.345,0.0367,0,0.85,8,343099,-4.963,0,0.718
"0G9rmRmQDFk9O2tzZLyRkc","Migos","Emoji A Chain",59,4304652,860930.4,5,"6oMuImdp5ZcFhWP0ESe6mG",8097451,"[u'atl hip hop', u'pop', u'rap', u'trap music']",87,0.333,0.126,139.965,0.175,0.0348,0,0.891,1,315185,-8.316,1,0.381
"0gD6lWJhbXHWNVwQziSVvl","Rich The Kid","Plug Walk",18,244489731,1081812.96902655,226,"1pPmIToKXyGdsCF6LmqLmI",1307865,"[u'atl hip hop', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",85,0.503,0.108,95.011,0.179,0.224,0,0.882,11,175511,-6.618,1,0.176
"0Gl5s8IhMmQE5YQwM8Qx1J","Loren Allred","Never Enough",78,52987304,706497.386666667,75,"0LyOADBjj28cbvJWTXUEGA",39977,"[u'deep talent show', u'hollywood', u'movie tunes']",72,0.394,0.0952,86.777,0.0336,0.423,0,0.277,8,207787,-8.903,1,0.227
"0GVuLQtPXFaL18ijEOqoAa","Michelle Williams","Tightrope",163,9069508,533500.470588235,17,"2LAqcqAQ8KPTsl1HBgBrqM",2510,"[]",72,0.331,0.0919,161.564,0.0382,0.3,9.14e-06,0.351,9,234360,-10.316,1,0.191
"0H1Had94fszD13qsFsP1U5","Lil Peep","Sex with My Ex",50,4965224,827537.333333333,6,"2kCcBybjl3SAtIcwdWpUe3",1768658,"[u'emo rap', u'lgbtq+ hip hop']",87,0.77,0.102,167.892,0.0757,0.0472,0,0.497,6,213640,-4.298,1,0.47
"0hnErtVKN1JyvfBNfpWDpO","Bryan Adams","Christmas Time",93,1430908,1430908,1,"3Z02hBLubJxuFJfhacLSDc",963882,"[u'album rock', u'canadian pop', u'classic canadian rock', u'heartland rock', u'mellow gold', u'rock', u'soft rock']",78,0.443,0.0647,76.874,0.0249,0.453,0,0.505,0,247933,-8.649,1,0.38
"0hPLZrnDgtKxrym1BHjDhd","21 Savage","can't leave without it",71,5370840,895140,6,"1URnnhqYAYcrqrcwql10ft",5363631,"[u'atl hip hop', u'pop', u'pop rap', u'rap', u'trap music']",93,0.591,0.144,131.982,0.359,0.111,0,0.872,6,205352,-6.952,0,0.696
"0I20rLT2MJDhcF96AjbNYo","Zedd","Stay",101,42703266,584976.246575342,73,"2qxJFvFYMEDqd7ui6kSAcq",3746789,"[u'complextro', u'dance pop', u'edm', u'german techno', u'pop', u'post-teen pop', u'tropical house']",86,0.628,0.114,102.037,0.0759,0.221,0,0.671,5,210400,-5.049,0,0.537
"0i7lZhEMEheehKyCtBJIIL","Carpenters","Silent Night",168,871756,871756,1,"1eEfMU2AhEo7XnKgL7c304",697406,"[u'adult standards', u'christmas', u'mellow gold', u'soft rock']",77,0.174,0.0881,89.095,0.0363,0.949,0.00051,0.125,4,201040,-16.878,1,0.123
